Inference for Bugs model at "growth-increment.jags", fit using jags,
 5 chains, each with 6000 iterations (first 1000 discarded)
 n.sims = 25000 iterations saved
                     mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
mu.year[25]            0.557   0.065   0.429   0.514   0.557   0.601   0.683 1.001 25000
mu.year[26]            1.189   0.064   1.062   1.146   1.189   1.232   1.313 1.001 24000
mu.year[27]            1.019   0.063   0.893   0.976   1.019   1.062   1.142 1.001 25000
mu.year[28]            1.131   0.062   1.010   1.089   1.131   1.172   1.250 1.001 14000
mu.year[29]            1.407   0.063   1.282   1.364   1.407   1.449   1.531 1.001 15000
mu.year[30]            0.377   0.066   0.247   0.333   0.377   0.421   0.504 1.001 23000
mu.year[31]            1.000   0.057   0.889   0.962   1.000   1.039   1.112 1.001 25000
mu.year[32]            0.755   0.063   0.632   0.712   0.754   0.797   0.879 1.001 25000
mu.year.indiv[1,1]     1.017   0.067   0.885   0.972   1.017   1.062   1.148 1.001 21000
mu.year.indiv[2,1]     1.025   0.064   0.898   0.982   1.025   1.068   1.149 1.001 25000
mu.year.indiv[3,1]     0.838   0.063   0.714   0.795   0.838   0.880   0.960 1.001 25000
mu.year.indiv[4,1]     1.030   0.066   0.900   0.985   1.030   1.074   1.159 1.001 25000
mu.year.indiv[5,1]     1.184   0.068   1.050   1.138   1.184   1.229   1.315 1.001 25000
mu.year.indiv[6,1]     1.019   0.065   0.891   0.975   1.019   1.063   1.147 1.001 25000
mu.year.indiv[7,1]     0.991   0.062   0.870   0.949   0.991   1.032   1.112 1.001 22000
mu.year.indiv[8,1]     0.774   0.066   0.644   0.730   0.774   0.818   0.903 1.001 25000
mu.year.indiv[9,1]     0.898   0.054   0.791   0.861   0.898   0.935   1.004 1.001 18000
mu.year.indiv[10,1]    1.000   0.064   0.872   0.957   1.000   1.043   1.126 1.001 25000
mu.year.indiv[11,1]    1.198   0.065   1.072   1.154   1.198   1.242   1.326 1.001 12000
mu.year.indiv[12,1]    0.955   0.066   0.826   0.911   0.955   0.999   1.087 1.001 25000
mu.year.indiv[13,1]    1.030   0.064   0.904   0.987   1.030   1.073   1.156 1.001 25000
mu.year.indiv[14,1]    1.307   0.065   1.180   1.263   1.307   1.350   1.434 1.001 21000
mu.year.indiv[15,1]    0.561   0.067   0.429   0.516   0.561   0.606   0.692 1.001 25000
mu.year.indiv[16,1]    1.409   0.063   1.286   1.366   1.408   1.451   1.531 1.001 25000
mu.year.indiv[17,1]    0.995   0.064   0.869   0.952   0.995   1.038   1.121 1.001 25000
