plot,Tree number,Species,X coord,Y coord,T1_DBH,T1_BasalArea,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,T2_BasalArea,Tree height,DBH_inc,,
127,2086,PIFL,43.9,35.7,21,346.3602975,,2,1,1,2,2,31.2,764.5373424,20.06,10.2,,x
127,2091,PIFL,41.8,49.5,29.8,697.4643959,,2,2,1,2,2,30.5,730.6160244,17.66,0.7,,x
127,2095,PIFL,31.2,9.7,29.3,674.2558998,,,,,,,,0,,,,x
127,2189,PIFL,40,13.2,25.7,518.7471948,,1,1,1,2,2,28.4,633.4702076,19.84,2.7,,x
127,2194,PIFL,8,2.5,22,380.13239,,2,2,1,2,2,24.5,471.4348494,12.43,2.5,,x
127,2195,PIFL,11.1,1.3,30.9,749.905387,,2,1,1,2,1,35.1,967.617574,13.64,4.2,,x
137,2175,PIFL,3.3,25.3,20.9,343.069482,LE,2,2,2,2,2,24.5,471.4348494,10.95,3.6,,x
141,936,PIFL,39,22.1,24.4,467.5942556,LE,2,2,1,2,2,27,572.5547775,18.55,2.6,,x
145,1980,PIFL,3,5.6,8.2,52.8101279,LF,1,1,1.5,2,2,10.1,80.11839898,6.13,1.9,,x
145,1982,PIFL,1.1,7.5,5.2,21.2371484,LE,2,2,2,2,2,7.3,41.85383278,4.74,2.1,,x
145,1983,PIFL,3,5.6,6,28.27431,LF,1,1,1,2,2,6.8,36.3167804,5.79,0.8,,x
147,1370,PIFL,29.1,32.1,5.9,27.33968698,LP,,,,,,,0,,,,x
147,1446,PIFL,26.2,31,6.6,34.2119151,LG,2,2,2,2,2,10.1,80.11839898,6.88,3.5,,burned up
154,364,PIFL,42.2,18.6,18.6,271.7161191,LG,1,2,1,2,1,49.2,1901.164604,15.6,30.6,,DSF
154,368,PIFL,30,17.2,17.2,232.3519964,LE,2,1,2,2,2,57.7,2614.816043,17.72,40.5,,DSF
154,370,PIFL,32.3,29.7,29.7,692.7912808,LG,1,2,2,2,2,23.8,444.8805599,9.09,-5.9,,DSF
154,1714,PIFL,23,22.2,14.2,158.3675519,LG,2,2,1,2,2,15.7,193.5926298,8.72,1.5,,DSF
154,1715,PIFL,17.6,18,5.2,21.2371484,LG,2,2,1,2,1,13.8,149.5710999,4.72,8.6,,DSF
154,1722,PIFL,24.3,21.4,5.6,24.6300656,LF,1,1,2,2,2,7.4,43.0083671,4.37,1.8,,DSF
154,1725,PIFL,15.7,17.9,5.6,24.6300656,LG,missing,,,,,,0,,,,DSF
154,1727,PIFL,15.6,17.8,9.2,66.4760444,LF,2,1,1,2,1,17.7,246.0571828,6.12,8.5,,DSF
154,1744,PIFL,47.2,1.9,49.2,1901.164604,LE,2,2,2,2,2,51,2042.818898,14.46,1.8,,DSF
156,578,PIFL,27.6,28.2,11.4,102.0702591,LF,1,1,1,2,2,14.6,167.4153311,11.21,3.2,,
158,687,PIFL,10.9,2.1,19.9,311.025264,LG,1.5,2,2,2,2,21.6,366.4350576,11.9,1.7,,
164,597,PIFL,17.7,17.1,21.5,363.0499944,,,,,,,22.5,397.6074844,15.51,1,,
166,734,PIFL,13.8,25.6,19.8,307.9072359,LG,1.5,2,1,0,2,25.1,494.808279,12.44,5.3,,
166,773,PIFL,30.3,12.8,21.5,363.0499944,LG,1,2,2,2,2,23.8,444.8805599,12.95,2.3,,
113,1343,PIPO,33.3,35,25.1,494.808279,DSF,,,,,,,0,,,,
113,1364,PIPO,15.9,20.2,34.3,924.0123048,DSF,,,,,,,0,,,,
