"plot","Tree.number","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","site","id","Species","X.coord","Y.coord","T1_DBH","T1_BasalArea","Tree.CX.code","Leaf.Cx","Leaf.Density","Stem","Insects","Meristem","T2_DBH","T2_BasalArea","Tree.height","DBH_inc","X.x","X.1","max","height.ratio","X.y","Y.x","UTME.x","UTMN.x","Lat.x","Lon.x","total_jan","total_feb","total_mar","total_apr","total_may","total_jun","total_jul","total_aug","total_sep","total_oct","total_nov","total_dec","hours_jan","hours_feb","hours_mar","hours_apr","hours_may","hours_jun","hours_jul","hours_aug","hours_sep","hours_oct","hours_nov","hours_dec","total","X","Y.y","UTME.y","UTMN.y","Lat.y","Lon.y","Slope","Aspect","TWI","Prof_curv","Plan_curv","DEM","Cat_slope","Cat_area","MCat_area","Gen_curv"
"113","1417",1.435,1.87,1.7,1.98,1.83,1.69,2.24,1.16,1.535,1.705,1.63,0.995,0.785,1.21,0.39,0.935,0.95,1.17,0.385,0.74,0,0.26,0.345,0.47,0.23,0.785,1.1,1.07,1.265,0.84,1.33,0.395,2014,"113.rwl","1131417A","PIPO",14.1,5.8,50.2,1979.233116,"LG","2",2,1,2,2,51.6,2091.167968,18.9,1.4,NA,"",21.16,0.893194706994329,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1419",1.49,1.745,1.06,1.205,1.23,0.985,1.25,0.94,1.25,1.355,1.415,1.195,0.69,1.05,0.215,1.01,0.855,0.66,0.41,0.61,0.13,0.56,0.4,0.685,0.075,0.525,0.35,0.29,0.31,0.07,0.435,0,2014,"113.rwl","1131419A","PIFL",35.1,12.6,43,1452.199978,"LG","2",0.5,1.5,2,0,43.5,1486.168419,13.05,0.5,NA,"x",21.16,0.616729678638941,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1433",0.985,1.5,1.5,1.855,1.77,1.255,2.15,0.575,1.075,1.685,1.61,1.26,1.105,1.675,0.265,1.345,1.21,1.315,0.4,0.955,0,0.49,0.3,0.37,0.16,0.99,0.9,0.82,0.65,0.14,0.625,0,2014,"113.rwl","1131433A","PIPO",41.8,30.1,48.1,1817.10351,"LG","2",2,2,2,1.5,48.1,1817.10351,16.43,0,NA,"",21.16,0.776465028355388,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1438",0.795,0.995,0.865,2.005,1.655,1.215,0.995,0.48,0.55,0.795,0.64,0.57,0.59,0.45,0.08,0.545,0.71,0.565,0.125,0.29,0,0.155,0.295,0.385,0,0.375,0.42,0.36,0.33,0.075,0.37,0.145,2014,"113.rwl","1131438A","PIPO",35.3,27.3,30,706.85775,"LF","2",1,1,2,1,30.8,745.0594844,8.02,0.8,NA,"",21.16,0.379017013232514,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"125","1101",1.665,2.1,2.04,2.415,2.42,1.56,1.795,1.615,1.815,2.195,2.18,1.165,1.41,1.83,0.555,1.565,1.32,1.245,0.425,0.66,0,0.41,0.36,0.435,0,2.065,2.16,3.11,2.375,0,0.525,0.4,2014,"125.rwl","1251101A","PIPO",43.9,11,26.9,568.321485,"LG","2",1,1,2,2,31.6,784.2665276,19.95,4.7,NA,"",28.42,0.701970443349754,353797,3963034,353797,3963034,35.80054376,-106.6180442,149266.0298,167746.9009,229588.2647,257080.0107,276072.7402,281884.708,287185.2988,271535.6826,234056.0972,200178.127,153728.6733,137894.9292,288.5,284.5,348,365.5,394.5,405,414,389,350,328,288.5,279,1.394912085496,353797,3963034,353797,3963034,35.80054376,-106.6180442,0.253573566542769,-1.45924437000384,0.63813746752654,0.00387,0.01912,2562.02002,0.12085,616.62866,1518.35034,0.0148
"125","1104",0.66,0.9,0.645,0.795,0.855,0.775,0.7,0.555,0.41,0.605,0.425,0.24,0.265,0.36,0,0.21,0.14,0.155,0.035,0.205,0,0,0.045,0.125,0,0.105,0.115,0.15,0.14,0,0.255,0.335,2014,"125.rwl","1251104A","PIPO",29,10.8,28.1,620.15772,"LF","2",1,1,2,2,28.4,633.4702076,16.53,0.3,NA,"",28.42,0.581632653061224,353797,3963034,353797,3963034,35.80054376,-106.6180442,149266.0298,167746.9009,229588.2647,257080.0107,276072.7402,281884.708,287185.2988,271535.6826,234056.0972,200178.127,153728.6733,137894.9292,288.5,284.5,348,365.5,394.5,405,414,389,350,328,288.5,279,1.394912085496,353797,3963034,353797,3963034,35.80054376,-106.6180442,0.253573566542769,-1.45924437000384,0.63813746752654,0.00387,0.01912,2562.02002,0.12085,616.62866,1518.35034,0.0148
"125","1107",1.025,1.435,1.235,1.065,1.5,1.17,1.27,0.485,0.625,0.825,0.85,0.715,0.655,0.87,0,0.875,0.365,0.555,0.11,0.45,0,0,0.26,0.3,0,0.29,0.475,0.53,0.625,0,0.55,0.58,2014,"125.rwl","1251107a","PIPO",25.3,9.2,62.5,3067.958984,"LE","2",2,2,2,2,59.6,2789.857584,18.59,-2.9,NA,"",28.42,0.65411681914145,353797,3963034,353797,3963034,35.80054376,-106.6180442,149266.0298,167746.9009,229588.2647,257080.0107,276072.7402,281884.708,287185.2988,271535.6826,234056.0972,200178.127,153728.6733,137894.9292,288.5,284.5,348,365.5,394.5,405,414,389,350,328,288.5,279,1.394912085496,353797,3963034,353797,3963034,35.80054376,-106.6180442,0.253573566542769,-1.45924437000384,0.63813746752654,0.00387,0.01912,2562.02002,0.12085,616.62866,1518.35034,0.0148
"125","1133",1.645,1.97,1.705,2.19,2.06,1.595,1.71,0.87,1.295,1.39,2,1.635,1.68,1.56,0.895,1.795,1.45,1.7,0.835,1.595,0.4,0.73,1.225,1.455,0,1.055,2.68,2.405,2.66,0,3.08,1.955,2014,"125.rwl","1251133A","PIPO",15.8,25.2,28,615.75164,"LG","2",2,1.5,2,2,32.1,809.281438,17.26,4.1,NA,"",28.42,0.607318789584799,353797,3963034,353797,3963034,35.80054376,-106.6180442,149266.0298,167746.9009,229588.2647,257080.0107,276072.7402,281884.708,287185.2988,271535.6826,234056.0972,200178.127,153728.6733,137894.9292,288.5,284.5,348,365.5,394.5,405,414,389,350,328,288.5,279,1.394912085496,353797,3963034,353797,3963034,35.80054376,-106.6180442,0.253573566542769,-1.45924437000384,0.63813746752654,0.00387,0.01912,2562.02002,0.12085,616.62866,1518.35034,0.0148
"125","1149",1.165,1.57,1.115,1.47,1.645,1.1,0.98,0.335,0.3,0.315,0.35,0.285,0.265,0.34,0.06,0.385,0.355,0.435,0.205,0.2,0,0,0.215,0.265,0,0.28,0.36,0.32,0.285,0,0.7,0.445,2014,"125.rwl","1251149A","PIPO",4,0.3,31.8,794.2253679,"LP","2",1,1,2,0,32.8,844.9620464,18.84,1,NA,"",28.42,0.662913441238564,353797,3963034,353797,3963034,35.80054376,-106.6180442,149266.0298,167746.9009,229588.2647,257080.0107,276072.7402,281884.708,287185.2988,271535.6826,234056.0972,200178.127,153728.6733,137894.9292,288.5,284.5,348,365.5,394.5,405,414,389,350,328,288.5,279,1.394912085496,353797,3963034,353797,3963034,35.80054376,-106.6180442,0.253573566542769,-1.45924437000384,0.63813746752654,0.00387,0.01912,2562.02002,0.12085,616.62866,1518.35034,0.0148
"125","1248",0.415,0.585,0.625,0.52,0.685,0.575,0.355,0.185,0.47,0.395,0.465,0.45,0.295,0.435,0.095,0.385,0.39,0.315,0.14,0.355,0,0.135,0.255,0.23,0.105,0.525,0.425,0.575,1,0,0.82,0.9,2014,"125.rwl","1251248N","PIPO",29.6,49.5,54.8,2358.580108,"LF","2",1.5,2,2,2,53.7,2264.842917,23.91,-1.1,NA,"",28.42,0.841308937368051,353797,3963034,353797,3963034,35.80054376,-106.6180442,149266.0298,167746.9009,229588.2647,257080.0107,276072.7402,281884.708,287185.2988,271535.6826,234056.0972,200178.127,153728.6733,137894.9292,288.5,284.5,348,365.5,394.5,405,414,389,350,328,288.5,279,1.394912085496,353797,3963034,353797,3963034,35.80054376,-106.6180442,0.253573566542769,-1.45924437000384,0.63813746752654,0.00387,0.01912,2562.02002,0.12085,616.62866,1518.35034,0.0148
